Year,Month,Month Code,District Code,District,TANF Cases with Earned Income,TANF Average Gross Earned Income,TANF Average Net Earned Income,SNA MOE Cases with Earned Income,SNA MOE Average Gross Earned Income,SNA MOE Average Net Earned Income,SNA Non-MOE Cases with Earned Income,SNA Non-MOE Average Gross Earned Income,SNA Non-MOE Average Net Earned Income
2020,June,6,1,Albany,21,1045,439,19,844,348,10,1287,689
2020,June,6,2,Allegany,3,762,307,2,192,47,2,290,193
2020,June,6,3,Broome,21,884,367,13,1128,478,14,485,235
2020,June,6,4,Cattaraugus,7,613,240,2,806,329,7,261,85
2020,June,6,5,Cayuga,5,782,318,9,969,409,4,857,417
2020,June,6,6,Chautauqua,33,708,285,24,807,330,12,567,281
2020,June,6,7,Chemung,2,841,345,0,0,0,1,484,394
2020,June,6,8,Chenango,2,890,368,0,0,0,0,0,0
2020,June,6,9,Clinton,5,1047,440,3,344,139,3,728,638
2020,June,6,10,Columbia,9,825,349,4,1282,632,2,527,475
2020,June,6,11,Cortland,2,655,260,2,1172,498,2,312,214
2020,June,6,12,Delaware,1,1300,557,0,0,0,1,144,54
2020,June,6,13,Dutchess,19,1209,533,7,1278,609,7,822,634
2020,June,6,14,Erie,147,984,408,197,1074,453,135,1265,556
2020,June,6,15,Essex,0,0,0,0,0,0,0,0,0
2020,June,6,16,Franklin,7,783,319,2,1119,473,7,239,79
2020,June,6,17,Fulton,1,90,0,2,885,366,0,0,0
2020,June,6,18,Genesee,1,864,315,1,379,289,1,1253,1163
2020,June,6,19,Greene,5,733,296,2,576,223,4,820,637
2020,June,6,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,June,6,21,Herkimer,5,496,183,2,1431,617,2,254,164
2020,June,6,22,Jefferson,15,808,330,9,666,266,14,336,171
2020,June,6,23,Lewis,0,0,0,0,0,0,1,250,160
2020,June,6,24,Livingston,6,717,288,2,1480,639,7,439,217
2020,June,6,25,Madison,1,429,156,1,1699,740,0,0,0
2020,June,6,26,Monroe,123,922,383,171,1042,441,71,752,380
2020,June,6,27,Montgomery,6,1019,427,8,939,390,4,890,435
2020,June,6,28,Nassau,131,1235,585,90,1321,603,91,1279,835
2020,June,6,66,New York City,6570,1408,715,5941,1276,575,7233,1749,1220
2020,June,6,29,Niagara,17,740,314,20,924,384,10,681,300
2020,June,6,30,Oneida,32,846,349,70,1114,471,42,1050,467
2020,June,6,31,Onondaga,121,866,357,95,1084,461,44,1189,524
2020,June,6,32,Ontario,8,1032,439,1,914,379,5,772,623
2020,June,6,33,Orange,43,1021,428,31,1083,457,12,1593,858
2020,June,6,34,Orleans,11,1204,513,4,1342,576,7,428,196
2020,June,6,35,Oswego,18,788,321,10,683,273,21,633,277
2020,June,6,36,Otsego,2,467,174,0,0,0,1,1235,1145
2020,June,6,37,Putnam,0,0,0,0,0,0,0,0,0
2020,June,6,38,Rensselaer,18,862,355,34,949,396,4,1071,526
2020,June,6,39,Rockland,39,859,352,10,1463,632,17,1439,635
2020,June,6,41,Saratoga,3,246,72,1,737,298,1,272,182
2020,June,6,42,Schenectady,16,699,280,17,1001,420,11,1289,735
2020,June,6,43,Schoharie,0,0,0,1,786,320,1,50,0
2020,June,6,44,Schuyler,1,331,111,0,0,0,2,299,158
2020,June,6,45,Seneca,1,613,241,2,1121,474,2,973,499
2020,June,6,46,Steuben,13,777,326,4,340,133,14,441,284
2020,June,6,40,St. Lawrence,11,538,211,12,720,322,14,673,291
2020,June,6,47,Suffolk,138,1247,607,112,1404,636,84,1250,803
2020,June,6,48,Sullivan,10,802,330,2,1315,573,4,650,247
2020,June,6,49,Tioga,0,0,0,0,0,0,1,757,307
2020,June,6,50,Tompkins,3,833,342,2,849,349,12,730,643
2020,June,6,51,Ulster,6,680,271,6,927,387,12,1116,770
2020,June,6,52,Warren,2,1581,686,0,0,0,3,193,134
2020,June,6,53,Washington,5,813,361,0,0,0,6,496,244
2020,June,6,54,Wayne,7,1080,455,1,138,22,0,0,0
2020,June,6,55,Westchester,167,1165,521,74,1227,553,18,1097,636
2020,June,6,56,Wyoming,0,0,0,0,0,0,1,260,170
2020,June,6,57,Yates,1,459,170,0,0,0,0,0,0
2020,May,5,1,Albany,31,924,387,23,896,372,19,1392,690
2020,May,5,2,Allegany,3,407,143,3,278,87,2,215,80
2020,May,5,3,Broome,20,850,351,15,1056,444,16,542,245
2020,May,5,4,Cattaraugus,9,569,220,1,1092,461,8,222,65
2020,May,5,5,Cayuga,8,1193,531,7,940,397,5,770,399
2020,May,5,6,Chautauqua,29,728,294,26,728,294,16,568,280
2020,May,5,7,Chemung,4,572,222,0,0,0,1,484,394
2020,May,5,8,Chenango,1,1260,538,0,0,0,0,0,0
2020,May,5,9,Clinton,5,1047,440,3,344,139,4,602,512
2020,May,5,10,Columbia,8,731,299,5,1064,515,4,654,582
2020,May,5,11,Cortland,2,811,332,6,1234,526,4,298,204
2020,May,5,12,Delaware,2,1149,491,0,0,0,2,130,40
2020,May,5,13,Dutchess,20,1144,499,11,1332,627,6,451,212
2020,May,5,14,Erie,166,987,410,228,1100,465,158,1274,561
2020,May,5,15,Essex,0,0,0,0,0,0,0,0,0
2020,May,5,16,Franklin,9,738,298,2,1119,473,10,346,134
2020,May,5,17,Fulton,1,90,0,2,885,366,0,0,0
2020,May,5,18,Genesee,1,864,315,0,0,0,1,1061,971
2020,May,5,19,Greene,5,773,314,3,583,227,3,727,513
2020,May,5,20,Hamilton,0,0,0,0,0,0,0,0,0
2020,May,5,21,Herkimer,5,553,209,1,1849,809,2,254,164
2020,May,5,22,Jefferson,13,770,313,12,756,332,18,366,175
2020,May,5,23,Lewis,0,0,0,0,0,0,0,0,0
2020,May,5,24,Livingston,7,698,281,2,1480,639,8,492,234
2020,May,5,25,Madison,1,429,156,1,1699,740,0,0,0
2020,May,5,26,Monroe,147,859,354,217,995,416,86,748,374
2020,May,5,27,Montgomery,8,1079,455,7,961,401,4,1120,502
2020,May,5,28,Nassau,138,1251,592,94,1337,617,103,1375,910
2020,May,5,66,New York City,6876,1413,723,6040,1284,586,7406,1756,1234
2020,May,5,29,Niagara,13,761,309,26,967,405,12,559,263
2020,May,5,30,Oneida,43,847,349,77,1126,477,47,972,433
2020,May,5,31,Onondaga,127,891,369,101,1068,453,49,1293,568
2020,May,5,32,Ontario,8,1139,487,0,0,0,4,589,434
2020,May,5,33,Orange,59,1086,461,32,1065,449,8,1446,680
2020,May,5,34,Orleans,12,1143,484,5,1217,519,8,427,213
2020,May,5,35,Oswego,23,665,265,11,964,450,24,584,251
2020,May,5,36,Otsego,2,467,174,0,0,0,0,0,0
2020,May,5,37,Putnam,0,0,0,0,0,0,0,0,0
2020,May,5,38,Rensselaer,23,972,423,41,976,409,7,1212,698
2020,May,5,39,Rockland,45,956,398,10,1528,662,17,1544,676
2020,May,5,41,Saratoga,3,246,72,1,737,298,2,569,479
2020,May,5,42,Schenectady,26,754,307,22,1066,449,12,1185,646
2020,May,5,43,Schoharie,0,0,0,0,0,0,1,50,0
2020,May,5,44,Schuyler,1,331,111,0,0,0,2,299,158
2020,May,5,45,Seneca,0,0,0,2,1121,474,2,1012,538
2020,May,5,46,Steuben,10,785,322,3,374,128,18,678,452
2020,May,5,40,St. Lawrence,12,482,187,15,778,318,13,585,254
2020,May,5,47,Suffolk,158,1257,603,131,1412,652,82,1275,783
2020,May,5,48,Sullivan,10,901,376,2,1315,573,5,921,374
2020,May,5,49,Tioga,0,0,0,0,0,0,2,899,372
2020,May,5,50,Tompkins,5,825,338,4,688,275,15,792,704
2020,May,5,51,Ulster,7,955,426,7,918,383,11,1019,652
2020,May,5,52,Warren,4,1292,553,1,1706,917,4,157,75
2020,May,5,53,Washington,4,497,186,0,0,0,6,496,244
2020,May,5,54,Wayne,10,1096,463,1,138,22,2,711,621
2020,May,5,55,Westchester,172,1096,482,78,1159,501,26,1065,567
2020,May,5,56,Wyoming,0,0,0,0,0,0,0,0,0
2020,May,5,57,Yates,2,492,185,0,0,0,0,0,0
2020,April,4,1,Albany,33,965,415,27,977,417,16,1461,723
2020,April,4,2,Allegany,4,357,120,4,395,143,3,997,441
2020,April,4,3,Broome,24,851,358,13,1110,478,17,609,273
