"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C02_001E","S1901_C02_001M","S1901_C03_001E","S1901_C03_001M","S1901_C04_001E","S1901_C04_001M","S1901_C01_002E","S1901_C01_002M","S1901_C02_002E","S1901_C02_002M","S1901_C03_002E","S1901_C03_002M","S1901_C04_002E","S1901_C04_002M","S1901_C01_003E","S1901_C01_003M","S1901_C02_003E","S1901_C02_003M","S1901_C03_003E","S1901_C03_003M","S1901_C04_003E","S1901_C04_003M","S1901_C01_004E","S1901_C01_004M","S1901_C02_004E","S1901_C02_004M","S1901_C03_004E","S1901_C03_004M","S1901_C04_004E","S1901_C04_004M","S1901_C01_005E","S1901_C01_005M","S1901_C02_005E","S1901_C02_005M","S1901_C03_005E","S1901_C03_005M","S1901_C04_005E","S1901_C04_005M","S1901_C01_006E","S1901_C01_006M","S1901_C02_006E","S1901_C02_006M","S1901_C03_006E","S1901_C03_006M","S1901_C04_006E","S1901_C04_006M","S1901_C01_007E","S1901_C01_007M","S1901_C02_007E","S1901_C02_007M","S1901_C03_007E","S1901_C03_007M","S1901_C04_007E","S1901_C04_007M","S1901_C01_008E","S1901_C01_008M","S1901_C02_008E","S1901_C02_008M","S1901_C03_008E","S1901_C03_008M","S1901_C04_008E","S1901_C04_008M","S1901_C01_009E","S1901_C01_009M","S1901_C02_009E","S1901_C02_009M","S1901_C03_009E","S1901_C03_009M","S1901_C04_009E","S1901_C04_009M","S1901_C01_010E","S1901_C01_010M","S1901_C02_010E","S1901_C02_010M","S1901_C03_010E","S1901_C03_010M","S1901_C04_010E","S1901_C04_010M","S1901_C01_011E","S1901_C01_011M","S1901_C02_011E","S1901_C02_011M","S1901_C03_011E","S1901_C03_011M","S1901_C04_011E","S1901_C04_011M","S1901_C01_012E","S1901_C01_012M","S1901_C02_012E","S1901_C02_012M","S1901_C03_012E","S1901_C03_012M","S1901_C04_012E","S1901_C04_012M","S1901_C01_013E","S1901_C01_013M","S1901_C02_013E","S1901_C02_013M","S1901_C03_013E","S1901_C03_013M","S1901_C04_013E","S1901_C04_013M","S1901_C01_014E","S1901_C01_014M","S1901_C02_014E","S1901_C02_014M","S1901_C03_014E","S1901_C03_014M","S1901_C04_014E","S1901_C04_014M","S1901_C01_015E","S1901_C01_015M","S1901_C02_015E","S1901_C02_015M","S1901_C03_015E","S1901_C03_015M","S1901_C04_015E","S1901_C04_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_016E","S1901_C02_016M","S1901_C03_016E","S1901_C03_016M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households MOE!!Total","Estimate!!Families!!Total","Margin of Error!!Families MOE!!Total","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families MOE!!Total","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households MOE!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households MOE!!Total!!Less than $10,000","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families MOE!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families MOE!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households MOE!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households MOE!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families MOE!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families MOE!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households MOE!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households MOE!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families MOE!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families MOE!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households MOE!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households MOE!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families MOE!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families MOE!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households MOE!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households MOE!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families MOE!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families MOE!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households MOE!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households MOE!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families MOE!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families MOE!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households MOE!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households MOE!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families MOE!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families MOE!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households MOE!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households MOE!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families MOE!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families MOE!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households MOE!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households MOE!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families MOE!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families MOE!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households MOE!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households MOE!!Total!!$200,000 or more","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families MOE!!Total!!$200,000 or more","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families MOE!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households MOE!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households MOE!!Median income (dollars)","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families MOE!!Median income (dollars)","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families MOE!!Median income (dollars)","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households MOE!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households MOE!!Mean income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families MOE!!Mean income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families MOE!!Mean income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households MOE!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households MOE!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"0500000US36087","Rockland County, New York","99502","1638","74783","2607","62601","2670","24719","2165","3.6","1.0","1.5","0.8","1.1","0.8","10.4","3.6","4.0","1.2","1.9","0.7","1.5","0.6","11.1","3.9","7.8","1.5","7.1","1.6","6.9","1.7","10.7","3.6","6.2","1.1","5.2","1.4","5.3","1.4","9.9","2.9","8.0","1.4","6.7","1.5","6.2","1.5","12.3","3.9","13.7","1.6","14.3","2.1","13.0","2.2","12.9","3.0","11.8","1.7","10.5","1.7","9.6","1.7","13.2","3.9","17.5","1.9","19.9","2.6","19.5","2.7","10.8","3.1","10.9","1.6","12.9","2.0","14.4","2.3","4.2","2.0","16.5","1.6","20.0","2.1","22.6","2.3","4.4","1.9","89812","4056","108053","6700","115927","6454","40630","11407","118960","5679","133493","7081","N","N","68530","8693","44.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.2","(X)"
"0500000US36105","Sullivan County, New York","28900","1706","17487","1702","N","N","11413","1412","5.5","1.9","3.3","1.8","N","N","9.9","4.8","8.5","3.2","3.8","2.9","N","N","17.5","7.1","9.6","3.0","7.8","3.3","N","N","14.3","5.3","11.2","3.1","8.3","3.7","N","N","16.9","6.3","13.3","3.5","12.0","4.5","N","N","15.0","5.9","16.8","3.8","20.0","4.9","N","N","8.9","4.0","13.5","3.2","15.7","4.1","N","N","8.3","4.3","10.7","2.8","14.4","3.7","N","N","5.2","3.3","7.1","2.2","9.5","3.3","N","N","2.6","2.4","3.9","1.6","5.1","2.7","N","N","1.4","1.2","52274","6570","68170","5931","83259","7561","30557","4538","72044","6467","87367","10485","N","N","43843","6209","42.1","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","46.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","35.1","(X)"
"0500000US36111","Ulster County, New York","69154","2116","42744","2321","31794","2283","26410","1914","5.2","1.5","1.7","0.9","0.6","0.4","11.6","3.3","4.9","1.2","3.0","1.2","1.9","1.2","8.1","2.0","8.4","1.5","5.2","1.8","5.3","2.3","14.3","2.8","8.0","1.5","7.7","2.2","4.3","1.6","9.8","2.4","11.5","2.0","8.7","2.3","7.0","1.9","16.9","3.0","18.2","2.1","17.2","2.4","17.3","3.0","19.3","3.4","13.2","2.0","16.9","3.0","18.1","3.7","7.8","2.3","14.7","2.1","18.9","2.7","20.7","3.7","6.1","2.2","8.2","1.4","11.6","2.5","14.5","3.3","1.7","1.4","7.7","1.5","9.1","1.8","10.3","2.2","4.5","2.4","63889","4118","86208","8423","92844","6752","38808","3238","88816","4261","105681","5659","N","N","56179","6454","37.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.9","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.0","(X)"
"0500000US36053","Madison County, New York","26127","1315","17590","1305","N","N","8537","1060","4.4","1.7","3.5","2.0","N","N","7.1","3.3","3.6","1.9","1.1","1.1","N","N","8.6","5.4","9.4","2.5","5.3","2.8","N","N","18.4","5.9","9.1","2.6","8.0","3.1","N","N","14.5","5.7","14.0","2.5","11.9","3.1","N","N","19.5","5.7","21.0","3.5","22.2","4.2","N","N","15.4","5.0","15.2","3.5","17.7","4.6","N","N","8.0","4.9","14.8","3.1","18.1","3.7","N","N","7.4","4.8","4.8","2.1","6.8","3.2","N","N","0.8","1.3","3.7","1.5","5.4","2.2","N","N","0.3","0.5","59678","3687","71219","7983","81718","4694","35673","5312","74332","4803","87162","7006","N","N","45403","6729","37.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","34.4","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","43.0","(X)"
"0500000US36081","Queens County, New York","788110","4493","539742","6536","367777","7879","248368","6667","5.5","0.4","3.2","0.4","2.2","0.4","11.2","1.1","4.0","0.4","2.3","0.3","1.6","0.3","8.1","1.0","8.2","0.5","6.9","0.6","5.5","0.6","11.9","1.1","8.3","0.6","8.9","0.6","7.4","0.7","8.8","1.2","11.0","0.7","11.4","0.8","10.4","0.9","11.0","1.0","16.8","0.7","16.8","0.9","16.2","1.1","16.6","1.2","12.9","0.6","13.3","0.8","13.1","0.9","11.9","1.2","17.4","0.5","19.2","0.8","21.5","1.1","12.3","1.0","8.1","0.5","8.9","0.6","10.7","0.7","4.8","0.8","7.8","0.5","9.1","0.6","11.5","0.8","3.4","0.5","69320","1781","75797","1547","87618","2521","48292","2476","89633","1572","97506","1992","108729","2461","64472","1966","48.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","50.8","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","40.2","(X)"
"0500000US36119","Westchester County, New York","352498","3458","238521","4767","177607","4416","113977","5300","4.6","0.7","2.0","0.5","0.8","0.4","10.4","1.8","3.4","0.5","1.0","0.4","0.3","0.2","8.9","1.3","6.5","0.7","4.3","0.7","2.4","0.7","11.6","1.7","6.1","0.8","5.2","0.8","2.7","0.7","9.0","1.4","7.9","0.7","5.8","0.8","3.4","0.7","12.2","1.7","12.6","1.0","11.6","1.1","10.5","1.2","15.3","2.0","10.5","0.8","10.5","1.1","9.9","1.2","10.7","1.4","17.1","1.2","19.5","1.4","20.3","1.5","11.3","1.4","9.4","0.7","11.6","1.0","13.7","1.2","4.2","0.9","21.8","0.9","28.7","1.2","36.0","1.5","6.5","1.2","94811","3474","121990","3550","148483","6009","47297","3402","151637","4174","186013","5440","N","N","75785","5019","36.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","38.0","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","31.9","(X)"
"0500000US36113","Warren County, New York","28007","1304","17052","1293","N","N","10955","1419","4.4","2.3","2.5","2.1","N","N","7.6","4.4","3.0","1.3","1.8","1.1","N","N","5.5","3.0","12.3","3.2","6.0","2.5","N","N","22.4","7.3","8.7","2.2","6.2","2.3","N","N","13.9","5.2","14.3","2.9","12.1","3.2","N","N","17.8","5.9","19.4","3.3","18.3","4.4","N","N","19.5","4.2","14.1","3.0","16.8","4.4","N","N","9.2","4.2","13.7","2.8","21.1","4.3","N","N","2.6","1.8","5.0","2.1","6.9","2.9","N","N","1.4","1.8","5.1","2.1","8.3","3.5","N","N","0.1","0.2","56482","3144","80079","9845","91544","6052","35490","7781","75644","6843","95061","10474","N","N","43613","5483","30.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.3","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","26.0","(X)"
"0500000US36117","Wayne County, New York","35927","1087","24444","1362","N","N","11483","1293","3.1","1.2","1.8","1.0","N","N","7.0","3.2","5.3","2.0","2.1","1.5","N","N","11.9","5.3","9.4","2.5","3.6","1.5","N","N","22.9","7.0","7.4","2.1","5.2","2.3","N","N","14.9","4.4","14.2","2.7","14.4","3.4","N","N","12.8","4.3","20.6","3.1","21.3","3.2","N","N","17.7","6.9","15.2","2.4","18.6","3.2","N","N","6.9","3.1","16.2","2.7","22.4","3.7","N","N","3.3","2.1","4.7","1.4","5.4","1.8","N","N","2.2","1.6","3.9","1.2","5.2","1.7","N","N","0.5","0.8","61515","3238","76792","3813","85792","4319","30138","5201","79920","7400","96330","9739","N","N","41034","4535","32.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","28.1","(X)"
"0500000US36005","Bronx County, New York","507370","2944","323214","7046","135636","6116","184156","6743","15.1","1.0","11.0","1.1","3.4","0.9","24.1","2.0","8.8","0.7","5.9","0.8","3.5","1.0","14.6","1.4","12.6","0.8","12.4","1.0","8.0","1.4","13.4","1.6","10.3","0.8","10.1","0.9","7.8","1.3","10.9","1.4","12.5","0.9","13.1","1.1","11.9","1.7","12.4","1.5","15.6","1.0","18.1","1.3","20.7","2.0","11.7","1.4","9.8","0.8","10.8","1.0","14.7","1.7","6.6","1.2","8.8","0.7","10.3","0.9","14.4","1.6","4.4","0.9","3.5","0.4","4.6","0.7","8.0","1.3","1.0","0.4","3.0","0.4","3.8","0.6","7.6","1.3","0.9","0.3","38467","1864","46815","1576","68109","3536","23109","1937","57617","1608","65777","2332","92507","4656","37402","2017","41.6","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","44.7","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","(X)","33.8","(X)"
